standard,standard_marking,suction_diameter_mm,discharge_diameter_mm,impeller_nominal_diameter_mm,speed_rpm,design_flow_m3_h,design_head_m,flow_option,source_pdf_page_1based,source_printed_page,source_table,source_pdf_sha256,reuse_class,vendor_model_boundary
GB/T 5662-2013,50-32-125,50,32,125,1450,6.3,5,A,4,2,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,50-32-125,50,32,125,2900,12.5,20,A,4,2,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,50-32-160,50,32,160,1450,6.3,8,A,4,2,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,50-32-160,50,32,160,2900,12.5,32,A,4,2,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,50-32-200,50,32,200,1450,6.3,12.5,A,4,2,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,50-32-200,50,32,200,2900,12.5,50,A,4,2,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,50-32-250,50,32,250,1450,6.3,20,A,4,2,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,50-32-250,50,32,250,2900,12.5,80,A,4,2,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,65-50-125,65,50,125,1450,12.5,5,A,4,2,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,65-50-125,65,50,125,2900,25,20,A,4,2,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,65-50-160,65,50,160,1450,12.5,8,A,4,2,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,65-50-160,65,50,160,2900,25,32,A,4,2,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,65-40-200,65,40,200,1450,12.5,12.5,A,4,2,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,65-40-200,65,40,200,2900,25,50,A,4,2,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,65-40-250,65,40,250,1450,12.5,20,A,4,2,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,65-40-250,65,40,250,2900,25,80,A,4,2,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,65-40-315,65,40,315,1450,12.5,32,A,4,2,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,65-40-315,65,40,315,2900,25,125,A,4,2,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,80-65-125,80,65,125,1450,25,5,A,5,3,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,80-65-125,80,65,125,2900,50,20,A,5,3,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,80-65-160,80,65,160,1450,25,8,A,5,3,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,80-65-160,80,65,160,2900,50,32,A,5,3,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,80-50-200,80,50,200,1450,25,12.5,A,5,3,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,80-50-200,80,50,200,2900,50,50,A,5,3,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,80-50-250,80,50,250,1450,25,20,A,5,3,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,80-50-250,80,50,250,2900,50,80,A,5,3,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,80-50-315,80,50,315,1450,25,32,A,5,3,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,80-50-315,80,50,315,2900,50,125,A,5,3,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,100-80-125,100,80,125,1450,50,5,A,5,3,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,100-80-125,100,80,125,2900,100,20,A,5,3,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,100-80-160,100,80,160,1450,50,8,A,5,3,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,100-80-160,100,80,160,2900,100,32,A,5,3,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,100-65-200,100,65,200,1450,50,12.5,A,5,3,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,100-65-200,100,65,200,2900,100,50,A,5,3,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,100-65-250,100,65,250,1450,50,20,A,5,3,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,100-65-250,100,65,250,2900,100,80,A,5,3,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,100-65-315,100,65,315,1450,50,32,A,5,3,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,100-65-315,100,65,315,2900,100,125,A,5,3,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,125-80-160,125,80,160,1450,80,8,A,5,3,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,125-80-160,125,80,160,2900,160,32,A,5,3,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,125-80-200,125,80,200,1450,80,12.5,A,5,3,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
GB/T 5662-2013,125-80-200,125,80,200,2900,160,50,A,5,3,Table 1,4F71EE5FF28FF90A7FE33B19E8C460C5F199F90B8770E2E9D67628E0F238E383,direct_reuse_standard_design_point,not_a_vendor_model
